,step,scenario,algorithm,length,qname_count,qname
86,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha256,2235,"[1, 5, 5]",wildcard.new_rrsig-rsasha2563.example.
87,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha256,2248,"[1, 5, 5]",wildcard.new_dnskey-rsasha2563.example.
88,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha256,2258,"[1, 5, 5]",wildcard.dnskey_removal-rsasha2563.example.
89,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha256,1615,"[1, 3, 3]",wildcard.rrsig_removal-rsasha2563.example.
90,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha512,799,"[1, 3, 3]",wildcard.initial-rsasha5123.example.
91,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha512,2234,"[1, 5, 5]",wildcard.new_rrsig-rsasha5123.example.
92,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha512,2249,"[1, 5, 5]",wildcard.new_dnskey-rsasha5123.example.
93,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha512,2261,"[1, 5, 5]",wildcard.dnskey_removal-rsasha5123.example.
94,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha512,1617,"[1, 3, 3]",wildcard.rrsig_removal-rsasha5123.example.
95,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa256,412,"[1, 3, 3]",wildcard.initial-ecdsa2563.example.
96,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa256,1848,"[1, 5, 5]",wildcard.new_rrsig-ecdsa2563.example.
97,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa256,1857,"[1, 5, 5]",wildcard.new_dnskey-ecdsa2563.example.
98,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa256,1872,"[1, 5, 5]",wildcard.dnskey_removal-ecdsa2563.example.
99,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa256,1616,"[1, 3, 3]",wildcard.rrsig_removal-ecdsa2563.example.
100,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa384,476,"[1, 3, 3]",wildcard.initial-ecdsa3843.example.
